id,id,cause_of_death,region_origin,affected_nationality,missing,dead,incident_region,date,source,reliability,lat,lon,nationalities,causes
1,1,Presumed drowning,Middle East,Iraq,1.0,1.0,Mediterranean,2015-11-05,IOM Greece,Verified,36.8915,27.2877,['Iraq'],['Drowning/Asphyxiation']
3,3,Fell from train,Central America & Mexico,Honduras,0.0,1.0,Central America & Mexico,2015-11-03,La Jornada,Partially Verified,15.9564,-93.6631,['Honduras'],['Vehicular/Mechanical']
4,4,Presumed drowning,Middle East,Unknown,0.0,1.0,Mediterranean,2015-11-03,Hellenic Coast Guard,Verified,36.50438994,27.36325278,['Unknown'],['Drowning/Asphyxiation']
6,6,Drowning,MENA,Unknown,6.0,4.0,Mediterranean,2015-11-01,Reuters,Partially Verified,37.2856,27.0866,['Unknown'],['Drowning/Asphyxiation']
7,7,Vehicle accident,South East Asia,Cambodia,0.0,4.0,Southeast Asia,2015-11-01,Phnom Penh Post,Partially Verified,13.3611,100.985,['Cambodia'],['Vehicular/Mechanical']
8,8,Drowning,MENA,Unknown,0.0,11.0,Mediterranean,2015-11-01,Hellenic Coast Guard,Verified,37.75181406,26.96029054,['Unknown'],['Drowning/Asphyxiation']
9,9,Drowning,MENA,Unknown,0.0,1.0,Mediterranean,2015-11-01,Hellenic Coast Guard,Verified,38.35754036,26.45215693,['Unknown'],['Drowning/Asphyxiation']
10,10,Drowning,MENA,Unknown,0.0,1.0,Mediterranean,2015-11-01,Hellenic Coast Guard,Verified,39.27619474,26.38344341,['Unknown'],['Drowning/Asphyxiation']
11,11,Drowning,Unknown,Unknown,0.0,3.0,Mediterranean,2015-10-28,AP,Partially Verified,37.4578,26.9721,['Unknown'],['Drowning/Asphyxiation']
12,12,Died of unknown cause in hospital shortly after rescue,MENA,Syria,0.0,1.0,Mediterranean,2015-10-28,IOM Greece,Verified,39.37081581,26.17647329,['Syria'],['Unknown']
13,13,Drowning,MENA,Iran,0.0,1.0,Mediterranean,2015-10-26,IOM Greece,Verified,39.28097838,26.38413005,['Iran'],['Drowning/Asphyxiation']
14,14,Presumed drowning,South Asia,Afghanistan,7.0,3.0,Mediterranean,2015-10-23,IOM Greece,Verified,39.27300546,26.42326885,['Afghanistan'],['Drowning/Asphyxiation']
15,15,Presumed drowning,Middle East / South Asia,Unknown,0.0,1.0,Mediterranean,2015-11-01,Hellenic Coast Guard,Verified,39.27406857,26.38618999,['Unknown'],['Drowning/Asphyxiation']
16,16,Drowning,Unknown,Afghanistan,0.0,4.0,Mediterranean,2015-10-31,Hurriyet Daily News,Partially Verified,39.27991538,26.38893657,['Afghanistan'],['Drowning/Asphyxiation']
17,17,Exposure. Died upon entry to refugee camp.,South Asia,Afghan,0.0,1.0,Europe,2015-10-31,AP,Partially Verified,45.2604,19.1706,['Afghanistan'],['Exposure']
18,18,Drowning,Unknown,Unknown,0.0,1.0,Mediterranean,2015-10-30,AP,Partially Verified,39.27406857,26.38824993,['Unknown'],['Drowning/Asphyxiation']
19,19,Drowning,Sub-Saharan Africa,Likely Comorian,0.0,8.0,Sub-Saharan Africa,2015-10-30,LINFO,Partially Verified,-11.8028,43.8519,['Comoros'],['Drowning/Asphyxiation']
20,20,Drowning,Middle East / South Asia,Unknown,0.0,1.0,Mediterranean,2015-10-30,Hellenic Coast Guard,Verified,37.4578,26.9721,['Unknown'],['Drowning/Asphyxiation']
21,21,Drowning,Unknown,Unknown,32.0,7.0,Mediterranean,2015-10-29,Reuters Espa̱a,Verified,35.2446,-3.93175,['Unknown'],['Drowning/Asphyxiation']
22,22,Drowning,Middle East / South Asia,Unknown,4.0,3.0,Mediterranean,2015-10-29,AP,Partially Verified,36.435,28.2175,['Unknown'],['Drowning/Asphyxiation']
23,23,Drowning,Middle East / South Asia,Unknown,2.0,0.0,Mediterranean,2015-10-29,AP,Partially Verified,37.7548,26.9778,['Unknown'],['Drowning/Asphyxiation']
24,24,,Unknown,Unknown,0.0,8.0,Mediterranean,2015-10-20,IOM Rome,Verified,40.33471832,17.16460254,['Unknown'],['Unknown']
25,25,Drowning,Unknown,Unknown,0.0,1.0,Mediterranean,2015-10-02,IOM Greece,Verified,36.9523,26.9808,['Unknown'],['Drowning/Asphyxiation']
28,28,Drowning,Middle East / South Asia,Unknown,0.0,4.0,Mediterranean,2015-10-29,Hurriyet Daily News,Partially Verified,39.47014208,26.59265342,['Unknown'],['Drowning/Asphyxiation']
29,29,Drowning,Middle East / South Asia,Unknown,0.0,2.0,Mediterranean,2015-10-28,AP,Verified,39.26981603,26.39030986,['Unknown'],['Drowning/Asphyxiation']
30,30,Drowning,Middle East / South Asia,Unknown,1.0,3.0,Mediterranean,2015-10-28,Associated Press and Hellenic Coast Guard,Verified,37.7548,26.9778,['Unknown'],['Drowning/Asphyxiation']
31,31,Drowning,Unknown,Afghanistan,0.0,3.0,Mediterranean,2015-10-28,Reuters and Al Jazeera,Partially Verified,39.27460011,26.392369800000004,['Afghanistan'],['Drowning/Asphyxiation']
32,32,Presumed drowning,Middle East / South Asia,Unknown,0.0,19.0,Mediterranean,2015-10-28,AP,Partially Verified,36.9523,26.9808,['Unknown'],['Drowning/Asphyxiation']
33,33,Presumed drowning,Middle East / South Asia,Unknown,0.0,1.0,Mediterranean,2015-10-01,Hellenic Coast Guard,Verified,36.9523,26.9808,['Unknown'],['Drowning/Asphyxiation']
34,34,Drowning,Unknown,Afghanistan,0.0,1.0,Mediterranean,2015-10-28,Hellenic Coast Guard,Verified,39.2772578,26.40953594,['Afghanistan'],['Drowning/Asphyxiation']
35,35,Died of unknown cause in hospital shortly after rescue,Middle East / South Asia,Unknown,0.0,1.0,Mediterranean,2015-10-28,Hellenic Coast Guard,Verified,37.7548,26.9778,['Unknown'],['Unknown']
36,36,Drowning,Unknown,Unknown,13.0,43.0,Mediterranean,2015-10-28,IOM Greece and Hellenic Coast Guard,Verified,39.4277,26.3885,['Unknown'],['Drowning/Asphyxiation']
37,37,Drowning,Unknown,Unknown,1.0,1.0,Mediterranean,2015-10-27,Haberleber,Partially Verified,38.3243,26.28878044,['Unknown'],['Drowning/Asphyxiation']
38,38,Drowning,MENA,Syrian,0.0,1.0,Mediterranean,2015-10-26,IOM Greece and AP,Verified,38.37315331,26.46039668,['Syria'],['Drowning/Asphyxiation']
39,39,Suffocation,Unknown,Unknown,0.0,52.0,Mediterranean,2015-08-26,IOM Rome,Partially Verified,34.3434,15.1172,['Unknown'],['Drowning/Asphyxiation']
42,42,,Unknown,Nigerian,0.0,1.0,Mediterranean,2015-08-23,IOM Tunisia,Verified,34.8657,12.6049,['Nigeria'],['Unknown']
